# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2416770
# River:                 TENTYAK
# Station:               CHARVAK
# Country:               KG
# Latitude (DD):       41.25
# Longitude (DD):      73.0
# Catchment area (km²):      1300.0
# Altitude (m ASL):        1023.0
# Next downstream station:      2416850
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1933 - 1991
# No. of years:          59
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 708
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1933-01-01;--:--;      7.000;   -999.000;   0
1933-02-01;--:--;      8.000;   -999.000;   0
1933-03-01;--:--;     11.000;   -999.000;   0
1933-04-01;--:--;     39.000;   -999.000;   0
1933-05-01;--:--;     63.000;   -999.000;   0
1933-06-01;--:--;     46.000;   -999.000;   0
1933-07-01;--:--;     21.000;   -999.000;   0
1933-08-01;--:--;     14.000;   -999.000;   0
1933-09-01;--:--;     10.000;   -999.000;   0
1933-10-01;--:--;      9.000;   -999.000;   0
1933-11-01;--:--;      8.000;   -999.000;   0
1933-12-01;--:--;      9.000;   -999.000;   0
1934-01-01;--:--;      6.000;   -999.000;   0
1934-02-01;--:--;      9.000;   -999.000;   0
1934-03-01;--:--;     13.000;   -999.000;   0
1934-04-01;--:--;     56.000;   -999.000;   0
1934-05-01;--:--;     81.000;   -999.000;   0
1934-06-01;--:--;   -999.000;   -999.000;   0
1934-07-01;--:--;     51.000;   -999.000;   0
1934-08-01;--:--;     23.000;   -999.000;   0
1934-09-01;--:--;     16.000;   -999.000;   0
1934-10-01;--:--;     18.000;   -999.000;   0
1934-11-01;--:--;     13.000;   -999.000;   0
1934-12-01;--:--;      9.000;   -999.000;   0
1935-01-01;--:--;      9.000;   -999.000;   0
1935-02-01;--:--;     11.000;   -999.000;   0
1935-03-01;--:--;     18.000;   -999.000;   0
1935-04-01;--:--;     44.000;   -999.000;   0
1935-05-01;--:--;     84.000;   -999.000;   0
1935-06-01;--:--;     83.000;   -999.000;   0
1935-07-01;--:--;     43.000;   -999.000;   0
1935-08-01;--:--;     22.000;   -999.000;   0
1935-09-01;--:--;     15.000;   -999.000;   0
1935-10-01;--:--;     13.000;   -999.000;   0
1935-11-01;--:--;     13.000;   -999.000;   0
1935-12-01;--:--;     10.000;   -999.000;   0
1936-01-01;--:--;     10.000;   -999.000;   0
1936-02-01;--:--;     10.000;   -999.000;   0
1936-03-01;--:--;     13.000;   -999.000;   0
1936-04-01;--:--;     64.000;   -999.000;   0
1936-05-01;--:--;    112.000;   -999.000;   0
1936-06-01;--:--;     65.000;   -999.000;   0
1936-07-01;--:--;     29.000;   -999.000;   0
1936-08-01;--:--;     19.000;   -999.000;   0
1936-09-01;--:--;     14.000;   -999.000;   0
1936-10-01;--:--;     12.000;   -999.000;   0
1936-11-01;--:--;     11.000;   -999.000;   0
1936-12-01;--:--;     10.000;   -999.000;   0
1937-01-01;--:--;   -999.000;   -999.000;   0
1937-02-01;--:--;   -999.000;   -999.000;   0
1937-03-01;--:--;   -999.000;   -999.000;   0
1937-04-01;--:--;   -999.000;   -999.000;   0
1937-05-01;--:--;   -999.000;   -999.000;   0
1937-06-01;--:--;   -999.000;   -999.000;   0
1937-07-01;--:--;   -999.000;   -999.000;   0
1937-08-01;--:--;   -999.000;   -999.000;   0
1937-09-01;--:--;   -999.000;   -999.000;   0
1937-10-01;--:--;   -999.000;   -999.000;   0
1937-11-01;--:--;   -999.000;   -999.000;   0
1937-12-01;--:--;   -999.000;   -999.000;   0
1938-01-01;--:--;      7.000;   -999.000;   0
1938-02-01;--:--;      7.000;   -999.000;   0
1938-03-01;--:--;     10.000;   -999.000;   0
1938-04-01;--:--;     44.000;   -999.000;   0
1938-05-01;--:--;     39.000;   -999.000;   0
1938-06-01;--:--;     29.000;   -999.000;   0
1938-07-01;--:--;     18.000;   -999.000;   0
1938-08-01;--:--;     11.000;   -999.000;   0
1938-09-01;--:--;      8.000;   -999.000;   0
